"filename","id_no","seasonal","binomial","category","path"
"174136_1",174136,1,"Trachylepis lacertiformis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\174136_1.tif"
"149352063_1",149352063,1,"Hemidactylus kangerensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\149352063_1.tif"
"63905_1",63905,1,"Rhadinella schistosa","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\63905_1.tif"
"50950651_1",50950651,1,"Stenocercus chota","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50950651_1.tif"
"196948_1",196948,1,"Pachydactylus rugosus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196948_1.tif"
"99942106_1",99942106,1,"Dopasia gracilis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\99942106_1.tif"
"17795_1",17795,1,"Podarcis lilfordi","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\17795_1.tif"
"44980001_1",44980001,1,"Psammophis leopardinus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44980001_1.tif"
"152269166_1",152269166,1,"Smithophis atemporalis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\152269166_1.tif"
"101949746_1",101949746,1,"Cyrtodactylus pulchellus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\101949746_1.tif"
"177557_1",177557,1,"Erythrolamprus mertensi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\177557_1.tif"
"101949793_1",101949793,1,"Cyrtodactylus tebuensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\101949793_1.tif"
"44578076_1",44578076,1,"Alopoglossus atriventris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44578076_1.tif"
"56077336_1",56077336,1,"Liolaemus morenoi","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56077336_1.tif"
"178644_1",178644,1,"Anolis altae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178644_1.tif"
"170521_1",170521,1,"Chersobius boulengeri","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\170521_1.tif"
"44960195_1",44960195,1,"Acontias cregoi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44960195_1.tif"
"104688755_1",104688755,1,"Cyrtodactylus dati","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104688755_1.tif"
"44979717_1",44979717,1,"Pseudaspis cana","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44979717_1.tif"
"48617269_1",48617269,1,"Stenocercus orientalis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\48617269_1.tif"
"102703706_1",102703706,1,"Antaioserpens warro","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102703706_1.tif"
"13265499_1",13265499,1,"Philothamnus heterolepidotus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13265499_1.tif"
"196970_1",196970,1,"Zygaspis ferox","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196970_1.tif"
"102794847_1",102794847,1,"Gehyra lacerata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102794847_1.tif"
"178233_1",178233,1,"Uropeltis ocellata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178233_1.tif"
"110165772_1",110165772,1,"Platysaurus orientalis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\110165772_1.tif"
"177560_1",177560,1,"Toxicocalamus misimae","DD",NA
"64351_1",64351,1,"Lepidophyma lineri","DD",NA
"42493150_1",42493150,1,"Oxyuranus microlepidotus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42493150_1.tif"
"13152177_1",13152177,1,"Tarentola gigas","EN",NA
"190590_1",190590,1,"Arrhyton ainictum","DD",NA
"110162783_1",110162783,1,"Namazonurus pustulatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\110162783_1.tif"
"178221_1",178221,1,"Anolis alumina","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178221_1.tif"
"199579_1",199579,1,"Atractaspis microlepidota","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\199579_1.tif"
"192023_1",192023,1,"Hebius sarawacensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192023_1.tif"
"18917684_1",18917684,1,"Goniurosaurus catbaensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\18917684_1.tif"
"176164_1",176164,1,"Nannoscincus exos","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176164_1.tif"
"61459_1",61459,1,"Acanthodactylus mechriguensis","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61459_1.tif"
"203307_1",203307,1,"Scolecophis atrocinctus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203307_1.tif"
"109480985_1",109480985,1,"Pseudemoia rawlinsoni","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109480985_1.tif"
"96250633_1",96250633,1,"Ateuchosaurus chinensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\96250633_1.tif"
"177439_1",177439,1,"Philothamnus irregularis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\177439_1.tif"
"157254_1",157254,1,"Psammodromus manuelae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\157254_1.tif"
"50950684_1",50950684,1,"Stenocercus ornatus","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50950684_1.tif"
"203198_1",203198,1,"Liotyphlops anops","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203198_1.tif"
"61450_1",61450,1,"Ablepharus budaki","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61450_1.tif"
"15182216_1",15182216,1,"Incaspis simonsii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15182216_1.tif"
"75098208_1",75098208,1,"Anolis nasofrontalis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75098208_1.tif"
"120686509_1",120686509,1,"Lycodonomorphus mlanjensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\120686509_1.tif"
"48280279_1",48280279,1,"Euspondylus monsfumus","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\48280279_1.tif"
"8218_1",8218,1,"Plestiodon longirostris","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\8218_1.tif"
"102346303_1",102346303,1,"Larutia seribuatensis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102346303_1.tif"
"197007_1",197007,1,"Tropidosaura essexi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\197007_1.tif"
"192076_1",192076,1,"Plagiopholis blakewayi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192076_1.tif"
"47756146_1",47756146,1,"Vipera berus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\47756146_1.tif"
"56118578_1",56118578,1,"Liolaemus riojanus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56118578_1.tif"
"44979184_1",44979184,1,"Scelotes limpopoensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44979184_1.tif"
"176626_1",176626,1,"Calamaria ingeri","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176626_1.tif"
"196647_1",196647,1,"Tribolonotus annectens","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196647_1.tif"
"4615_1",4615,1,"Chelonia mydas","EN",NA
"50012229_1",50012229,1,"Contomastix leachei","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50012229_1.tif"
"196637_1",196637,1,"Sphenomorphus jobiensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196637_1.tif"
"99941772_1",99941772,1,"Pseudocalotes larutensis","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\99941772_1.tif"
"44648430_1",44648430,1,"Lygodactylus manni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44648430_1.tif"
"13265514_1",13265514,1,"Philothamnus nitidus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13265514_1.tif"
"64045_1",64045,1,"Phyllodactylus homolepidurus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64045_1.tif"
"203102_1",203102,1,"Anolis kunayalae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203102_1.tif"
"17450723_1",17450723,1,"Agama montana","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\17450723_1.tif"
"176362_1",176362,1,"Atretium schistosum","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176362_1.tif"
"75158906_1",75158906,1,"Amphisbaena arda","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75158906_1.tif"
"40761_1",40761,1,"Leucocephalon yuwonoi","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\40761_1.tif"
"42484939_1",42484939,1,"Lipinia venemai","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42484939_1.tif"
"74994894_1",74994894,1,"Anolis cybotes","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\74994894_1.tif"
"202864_1",202864,1,"Calotes paulus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\202864_1.tif"
"16394555_1",16394555,1,"Leptosiaphos hylophilus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\16394555_1.tif"
"109464089_1",109464089,1,"Ctenotus quattuordecimlineatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109464089_1.tif"
"13152199_1",13152199,1,"Tarentola raziana","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13152199_1.tif"
"19900_1",19900,1,"Sanzinia madagascariensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\19900_1.tif"
"191976_1",191976,1,"Macrocalamus jasoni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\191976_1.tif"
"96101770_1",96101770,1,"Atractus altagratiae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\96101770_1.tif"
"61588_1",61588,1,"Trapelus tournevillei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61588_1.tif"
"54537052_1",54537052,1,"Cyrtopodion belaense","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\54537052_1.tif"
"172985_1",172985,1,"Paroedura ibityensis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172985_1.tif"
"192193_1",192193,1,"Pseudoxenodon baramensis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192193_1.tif"
"172739_1",172739,1,"Madascincus minutus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172739_1.tif"
"164583_1",164583,1,"Eremias pleskei","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\164583_1.tif"
"56050992_1",56050992,1,"Liolaemus avilai","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56050992_1.tif"
"42482827_1",42482827,1,"Gehyra interstitialis","DD",NA
"178370_1",178370,1,"Praeteropus gowi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178370_1.tif"
"169713_1",169713,1,"Liolaemus cranwelli","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169713_1.tif"
"104652918_1",104652918,1,"Pseudocalotes tympanistriga","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104652918_1.tif"
"15179222_1",15179222,1,"Erythrolamprus cobella","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15179222_1.tif"
"102661775_1",102661775,1,"Tympanocryptis fortescuensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102661775_1.tif"
"75159367_1",75159367,1,"Amphisbaena bilabialata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75159367_1.tif"
"102707320_1",102707320,1,"Demansia reticulata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102707320_1.tif"
"203530_1",203530,1,"Geophis nigroalbus","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203530_1.tif"
"176863_1",176863,1,"Meizodon plumbiceps","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176863_1.tif"
"192062_1",192062,1,"Pseudorabdion collaris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192062_1.tif"
"63959_1",63959,1,"Tantilla sertula","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\63959_1.tif"
"61574_1",61574,1,"Tarentola boettgeri","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61574_1.tif"
